Month,Year,Temperature(Fahrenheit)
1,2008,56
2,2008,60
3,2008,62
10,2008,61
11,2008,57
12,2008,56
1,2009,57
2,2009,59
3,2009,63
10,2009,65
11,2009,59
12,2009,59
1,2010,56
2,2010,58
3,2010,64
10,2010,61
11,2010,58
12,2010,54
1,2011,58
2,2011,61
3,2011,63
10,2011,60
11,2011,60
12,2011,58
1,2012,57
2,2012,60
3,2012,63
10,2012,63
11,2012,59
12,2012,59
1,2013,59
2,2013,63
3,2013,61
10,2013,64
11,2013,60
12,2013,59
1,2014,56
2,2014,62
3,2014,65
10,2014,62
11,2014,61
12,2014,59
1,2015,57
2,2015,60
3,2015,62
10,2015,64
11,2015,63
12,2015,61
1,2016,57
2,2016,59
3,2016,63
10,2016,63
11,2016,59
12,2016,61
1,2017,58
2,2017,61
3,2017,62
10,2017,64
11,2017,59
12,2017,57
1,2018,55
2,2018,62
3,2018,66
10,2018,64
11,2018,60
12,2018,0
